product_name,vendor_name,taxonomy_category,taxonomy_sub_category,product_description
Confluence,ATLASSIAN PTY LTD,Enterprise Platforms,Enterprise Content Management (ECM),"Confluence is a team workspace where knowledge and collaboration meet. Dynamic pages give your team a place to create, capture, and collaborate on any project or idea.

Atlassian Corporation is an enterprise software multinational that develops products for software development, project management, and content management. It is best known for its issue tracking application, Jira, and its team collaboration and wiki product, Confluence.Atlassian Stack is bundle of Atlassian's data center tools along with some server offerings. For those Atlassian customers who already using some of their tools this is a good opportunity to get everything in a single suite. The Atlassian Stack includes: Data Center versions: JIRA Software, Bitbucket, JIRA Service Desk, Confluence Cloud Overview  "
Office 365 ProPlus-Old,MICROSOFT CORP,Digital Workplace,Collaboration & Productivity,Office 365 ProPlus is a user-based service that allows people to install full versions of Microsoft Office on up to 5 PCs or Macs and on their mobile devices
Office Professional Plus,MICROSOFT CORP,Digital Workplace,Collaboration & Productivity,"Office Professional Plus 2019 includes Access, Excel, OneNote, Outlook, PowerPoint, Publisher, Word, and Skype for Business"
Office 365 ProPlus,MICROSOFT CORP,Digital Workplace,Collaboration & Productivity,"Microsoft 365 Pro Plus is the productivity cloud designed to help you pursue your passion and run your business. More than just apps like Word, Excel, PowerPoint, Microsoft 365 brings together best-in-class productivity apps with powerful cloud services, device management, and advanced security in one, connected experience. Office 365 ProPlus is essentially the always-up-to-date version of the Microsoft Office suite and its apps"
Lucidchart,LUCID SOFTWARE INC,Digital Workplace,Collaboration & Productivity,"Lucidchart is the intelligent diagramming application that brings teams together to make better decisions and build the future.
Collaboration tool for drawing, revising and sharing charts and diagrams

Diagram your people, processes, and systems
Take advantage of powerful features that will help your team communicate complex ideas while collaborating in real time."
Playbooks,XANT INC,Customer Operational Platforms,Sales Mgmt,"AI platform that helps sales teams build a better pipeline. The Insidesales.com Playbooks system will improve rep productivity by allowing reps to work within an automated and consolidated, single pane-of-glass application that is highly integrated into Salesforce.com. The Predictive Playbooks platform will allow sales leadership, marketing and sales enablement to align sales reps to best practices which includes messaging, cadence and performance.
The InsideSales.com Playbooks system incorporates many components that can replace multiple applications (dialer, email tracking, gamification, etc.)"
Marketo Engage,ADOBE SYSTEMS INC,Marketing Management,Marketing Automation,"Marketo develops and sells marketing automation software for account-based marketing and other marketing services and products including SEO and content creation.Engage and empower existing customers with new products or services by understanding their needs. Get a 360 view of your customer by connecting your marketing and sales data to the customer. Utilize pre and post analysis of all marketing to focus on investments that drive valuable opportunities. Drive conversion by customizing the content across all platforms, screens, and marketing/sales activity.

Engage your customers as individuals at scale by responding to them based on what they do or don't do, wherever they are. Automatically segment your customers based on demographics and behaviors. Engage your customers throughout their journey with personalized and automated emails. Create a single view of your customers with an end to end view across programs and channels (email, online, events, and social). Measure and track email campaign effectiveness with easy to use performance dashboards. Enable your customers to become brand ambassadors by providing the right content and tools to share."
Localworks,YEXT INC,Marketing Management,Market Intelligence,"Website - Yext provides the perfect answers everywhere customers search, Yext's Search Experience Cloud puts businesses in control of their facts online. By providing brand verified answers on their own websites then across search engines, maps, apps, voice assistants and chatbots Yext helps brands take back control of the customer journey."
KBM,KNOWLEDGEBASE MARKETING INC,Marketing Management,Market Intelligence,"Prospect data warehouse management, campaign management, results attribution, server H/W and S/W, email deployment. Data, analytics and technology integration marketing services company committed to helping our clients achieve optimized marketing results and customer relationships.Provide relevant interactions with consumers and design engagement ecosystems for synchronized communications. Help the world's best-known brands evolve along the data-driven marketing continuum for improved marketing performance, mutually valuable customer relationships and stronger competitive advantage."
KBM,WUNDERMAN DATA MANAGEMENT LLC,Marketing Management,Market Intelligence,"Prospect data warehouse management, campaign management, results attribution, server H/W and S/W, email deployment. Data, analytics and technology integration marketing services company committed to helping our clients achieve optimized marketing results and customer relationships.Provide relevant interactions with consumers and design engagement ecosystems for synchronized communications. Help the world's best-known brands evolve along the data-driven marketing continuum for improved marketing performance, mutually valuable customer relationships and stronger competitive advantage."
